FID,Presubmission_ID,Project_Name,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Proposed_Units,Proposed_Acres,Sign_Code,Sign_Year,locationDescription,TaxMap_Parcel,Zoning,Coordinates,geom
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451c,1514,Dorsey Overlook,2015-07-28,2015-08-26,6:00 pm,Linden Hall - Dorsey Search,4765 Dorsey Hall Drive,Ellicott City,21042,90,5.46,R16,16,RT 108 AT COLUMBIA RD,"[TaxMap 30 Parcel 288],[TaxMap 30 Parcel 51],[TaxMap 30 Parcel 52],[TaxMap 30 Parcel 53],[TaxMap 30 Parcel 54],[TaxMap 30 Parcel 55],[TaxMap 30 Parcel 67]",R-APT,"(39.2404,-76.8432)",POINT (1356735.4536565877 573166.2408640832)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451b,1513,Ferron Property,2015-07-28,2015-08-24,6:00 pm,Elkridge Library,6540 Washington Blvd.,Elkridge,21075,3,4.2,R15,16,TERMINUS OF RUXTON DR,[TaxMap 37 Parcel 171],R-20,"(39.2075,-76.753)",POINT (1382297.9166754782 561192.7877507117)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451a,1515,Kings Arms  Sec 6,2015-07-29,2015-08-24,6:00 pm,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,6,1.37,R17,16,NE SIDE OF WHISKEY BOTTOM RD OPPOSITE OLD LANTERN WAY,[TaxMap 47 Parcel 174],R-SC,"(39.1225,-76.8395)",POINT (1357807.1942478344 530281.9909995515)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4519,1510,BP Gas Station,2015-07-24,2015-08-24,7:00 P.M.,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,,,C03,16,N SIDE US RT 40 300' SW EXECUTIVE CENTER RD,[TaxMap 24 Parcel 849],B-2,"(39.2809,-76.8147)",POINT (1364823.630240418 587881.5830227863)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4518,1512,BS Land Acquisition LLC,2015-07-28,2015-08-20,6:00 pm,East Columbia Library,6600 Cradlerock Way,Columbia,21045,24,3.34,R14,16,S SIDE HARRIET TUBMAN LN W OF FREETOWN RD,"[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]",R-SA-8,"(39.1851,-76.8812)",POINT (1345975.4908603542 553028.945681192)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4517,1511,CEDARS EXTENDED LOT R,2015-07-27,2015-08-20,6:00 PM,Elkridge Volunteer Fire Dept,6275 Old Washington Rd,Elkridge,21075,6,1.6,R13,16,LINCOLN DR W OF ROUTE 1,[TaxMap 43 Parcel 451],R-SC,"(39.1686,-76.7935)",POINT (1370846.8849089295 547058.2907218933)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4516,1520,Montgomery Patel Property,2015-08-12,2015-08-19,6:00 pm,Elkridge Volunteer Fire Dept,6275 Old Washington Road,Elkridge,21075,3,1.44,R20,16,MONTGOMERY RD WEST OF ELIBANK,[TaxMap 38 Parcel 554],R-20,"(39.2116,-76.7418)",POINT (1385495.6130722463 562695.249315504)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4515,1509,Dorsey's Ridge,2015-07-17,2015-08-17,6:00 p.m.,St. Paul Catholic Church,3755 St. Paul Street,Ellicott Ctiy,21043,,,M02,16,TERMINUS OF COOKS LN,"[TaxMap 24 Parcel 260],[TaxMap 24 Parcel 904],[TaxMap 24 Parcel 972]",R-ED,"(39.2631,-76.8166)",POINT (1364290.0367983542 581407.9060701914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4514,1506,Antwerpen Properties,2015-06-24,2015-08-04,6:00 pm,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,0,3.3,N01,16,NORTH SIDE OF TEN OAKS RD AT RT 108,"[TaxMap 34 Parcel 161],[TaxMap 34 Parcel 35],[TaxMap 34 Parcel 361]","B-1,B-2","(39.2071,-76.9435)",POINT (1328328.2973460928 561035.5597339999)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4513,1505,Montgomery Patel Property,2015-06-23,2015-07-28,6:00 pm,Elkridge Branch Library,6540 Washington Blvd,Elkridge,21075,3,1.44,R11,16,MONTGOMERY RD WEST OF ELIBANK,[TaxMap 38 Parcel 554],R-20,"(39.2116,-76.7418)",POINT (1385495.6130722463 562695.249315504)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4512,1502,Taylor Place,2015-06-22,2015-07-23,6:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,252,65.6,R07,16,COLLEGE AVE NE OF VILLAGE CREST DR,"[TaxMap 25 Parcel 73],[TaxMap 25 Parcel 74],[TaxMap 25 Parcel 93]","POR,R-A-15","(39.2575,-76.7936)",POINT (1370793.2180873603 579377.8297480773)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4511,1508,"Five Hills Farm, Lots 1-4",2015-06-25,2015-07-22,6:00 pm,Glenwood Library,2350 Route 97,Cooksville,21723,4,17.16,R12,16,OLD FREDERICK RD WEST OF UNDERWOOD RD,[TaxMap 9 Parcel 117],RC-DEO,"(39.3336,-76.9943)",POINT (1313935.6295592263 607037.0032879505)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4510,1501,Redd & Sipes Property,2015-06-19,2015-07-21,6:30 pm,Rockburn Elementary School,6145 Montgomery Road,Elkridge,21075,40,15.409,R08,16,TERMINUS OF FLOREY RD,"[TaxMap 38 Parcel 340],[TaxMap 38 Parcel 756]",R-12,"(39.2013,-76.7164)",POINT (1392679.307805147 558939.9457163345)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450f,1504,Woodbrook  Sec 2,2015-06-23,2015-07-21,6:00 pm,Elkridge Volunteer Fire Dept,6275 Old Washington Blvd,Elkridge,21075,8,2.14,R10,16,N SIDE WOODCREST DR 600' E OF WATERLOO RD,"[TaxMap 37 Parcel 126],[TaxMap 37 Parcel 488],[TaxMap 37 Parcel 530]",R-SC,"(39.2,-76.793)",POINT (1370981.6441384815 558454.3096585758)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450e,1503,Ten Oaks Farm,2015-06-22,2015-07-20,6:00 pm,Fifth District Volunteer Fire Dept,5000 Signal Bell Lane,Clarksville,21029,6,20.17,R09,16,TEN OAKS RD SOUTH OF MORNING STAR DR,[TaxMap 28 Parcel 140],RR-DEO,"(39.2315,-76.9798)",POINT (1318043.6514682733 569921.6409721784)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450d,1495,Brighton Mill  Ph 2,2015-06-04,2015-07-14,6:00 pm,Fifth District Volunteer Fire Dept.,5000 Signal Bell Lane,Clarksville,21029,14,29.048,R04,16,BROCCOLINO WAY S OF TRIADELPHIA MILL RD,[TaxMap 34 Parcel 16],RR-DEO,"(39.2151,-76.9826)",POINT (1317244.9217019342 563938.2746817563)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450c,1500,Lacey Property,2015-06-18,2015-07-13,6:00 pm,George Howard Bldg (Columbia/Ellicott City Rm),3430 Court House Drive,Ellicott City,21043,13,8.5,R06,16,CHURCH RD AT PARK DR,[TaxMap 25 Parcel 13],R-ED,"(39.2744,-76.7998)",POINT (1369039.2978651524 585504.7182329725)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450b,1499,Day Spa,2015-06-16,2015-07-08,6:00 P.M.,Fifth District Fire Department,5000 Signal Bell Lane,Clarksville,21029,,,C02,16,S SIDE OF CLARKSVILLE PIKE 1600' W OF CENTENNIAL LN,[TaxMap 29 Parcel 89],R-20,"(39.2351,-76.874)",POINT (1348011.7629703507 571239.4968081918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-450a,1497,Hill Property,2015-06-04,2015-07-07,6:00 pm,St. Paul's Evangelical Lutheran Church,11795 Route 216,Fulton,20759,6,35,R05,16,S SIDE LIME KILN RD EAST OF MARLOW RD,[TaxMap 45 Parcel 59],RR-DEO,"(39.1484,-76.9478)",POINT (1327094.416328352 539700.409229191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4509,1498,Dorsey's Ridge,2015-06-04,2015-07-07,6:00 p.m.,George Howard Bldg. Zoning Board,3430 Courthouse Drive,Ellicott City,21043,,,M02,16,TERMINUS OF COOKS LN,"[TaxMap 24 Parcel 260],[TaxMap 24 Parcel 904],[TaxMap 24 Parcel 972]",R-ED,"(39.2631,-76.8166)",POINT (1364290.0367983542 581407.9060701914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4508,1491,The Towns at Court Hill,2015-05-27,2015-07-02,6:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,10,3.28,R01,16,"WEST OF COURT  HOUSE DR, EAST OF FELLS LANE",[TaxMap 25 Parcel 43],R-A-15,"(39.2721,-76.801)",POINT (1368719.1057663523 584683.6742781922)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4507,1492,Burgess Mill Station II,2015-05-27,2015-07-02,7:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,60,3.924,R02,16,SW SIDE COURT HOUSE DR E OF FELS LN,[TaxMap 25 Parcel 120],R-A-15,"(39.2728,-76.8021)",POINT (1368406.5089483522 584946.2303001899)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4506,1494,Tim Martins,2015-06-03,2015-07-02,6:00 p.m.,Emmanuel United Methodist Church,10755 Scaggsville Road,Laurel,20723,,,C01,16,N SIDE HARDING RD W OF STANSFIELD RD,[TaxMap 46 Parcel 152],R-20,"(39.1347,-76.8822)",POINT (1345701.5601754189 534728.3882621322)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4505,1493,Settlement at Savage Mill,2015-05-27,2015-07-01,6:30 pm,Carroll Baldwin Hall,9035 Baltimore Street,Savage,20763,35,10.06,R03,16,APPROX. 290' WEST OF WASHINGTON STREET INTERSECTION WITH FAIR STREET,[TaxMap 47 Parcel 93],"B-2,R-H-ED","(39.1357,-76.8294)",POINT (1360661.3063743524 535070.404697191)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4504,1482,Walker Meadows,2015-05-12,2015-06-30,6:30 pm,West Friendship Volunteer Fire Dept,12535 Old Frederick Road,Sykesville,21784,35,100,R42,15,TERMINUS OF MAYAPPLE TR,"[TaxMap 10 Parcel 66],[TaxMap 9 Parcel 66]",RR-DEO,"(39.3427,-76.9389)",POINT (1329632.7266269028 610373.1531829964)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4503,1496,"Olde Scaggsville, LLC",2015-06-04,2015-06-30,6:00 p.m.,Emanuel United Methodist Church,10755 Scaggsville Road,Laurel,20723,,,M04,15,SCAGGSVILLE RD,"[TaxMap 46 Parcel 200],[TaxMap 46 Parcel 226]",RR-MXD-3,"(39.147,-76.9042)",POINT (1339454.385613069 539208.2431801651)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4502,1490,Crawford Property,2015-05-27,2015-06-30,6:30 pm,Dayton Oaks Elementary School,4691 Ten Oaks Road,Dayton,21036,23,98.52,R49,15,HAVILAND MILL RD,"[TaxMap 33 Parcel 1],[TaxMap 33 Parcel 52],[TaxMap 34 Parcel 52],[TaxMap 39 Parcel 1],[TaxMap 39 Parcel 52],[TaxMap 40 Parcel 1],[TaxMap 40 Parcel 52]",RR-DEO,"(39.1842,-77.0008)",POINT (1312071.72855898 552710.9182379022)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4501,1487,Piney Run Overlook,2015-05-22,2015-06-25,6:00 pm,Chapelgate Church,2600 Marriottsville Road,Marriottsville,21104,3,9.99,R46,15,DRIVER RD EAST OF MARRIOTTSVILLE RD,"[TaxMap 10 Parcel 7],[TaxMap 5 Parcel 7]",RC-DEO,"(39.3503,-76.8963)",POINT (1341696.4656653516 613130.3342753723)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4500,1488,Percival Property,2015-05-22,2015-06-22,6:00 pm,Glenwood Library,2350 Route 97,Cooksville,21723,4,11.4,R47,15,WEST SIDE OF RT 97 ,[TaxMap 8 Parcel 237],RC-DEO,"(39.3461,-77.02)",POINT (1306639.2932086624 611601.195761431)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44ff,1489,Khan Property,2015-05-22,2015-06-22,7:00 pm,Glenwood Library,2350 Route 97,Cooksville,21723,4,15.32,R48,15,WEST OF RT 97,[TaxMap 8 Parcel 243],RC-DEO,"(39.346,-77.0199)",POINT (1306661.6841015406 611560.0711629521)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44fe,1486,"Streaker Property, Lots 1-4",2015-05-20,2015-06-16,6:00 pm,West Friendship Volunteer Fire Dept,12535 Old Frederick Road,West Friendship,21794,4,16.3,R45,15,TERMINUS OF UNDERWOOD RD,[TaxMap 9 Parcel 328],RC-DEO,"(39.3185,-76.9751)",POINT (1319360.3094720691 601547.4781649429)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44fd,1481,Gates at Maple Lawn,2015-05-11,2015-06-10,6:00 P.M.,St. Paul's Lutheran Church,11797 Scaggsville Road,Fulton,20759,,,M03,15,SOUTH RT 216 ACROSS FROM MAPLE LAWN,[TaxMap 46 Parcel 282],RR-DEO,"(39.1481,-76.9114)",POINT (1337415.0104965866 539600.0021118801)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44fc,1483,Gratia Plena LLC Property,2015-05-12,2015-06-04,6:00 pm,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,3,162.07,R43,15,SHEPPARD LN,[TaxMap 9 Parcel 25],RC-DEO,"(39.2352,-76.9346)",POINT (1330832.306432873 571270.6254475042)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44fb,1484,Gratia Plena LLC Property,2015-05-12,2015-06-04,6:00 pm,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,0,162.07,N07,15,SHEPPARD LN,[TaxMap 9 Parcel 25],RC-DEO,"(39.2352,-76.9346)",POINT (1330832.306432873 571270.6254475042)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44fa,1485,Gratia Plena LLC Property,2015-05-12,2015-06-04,6:00 pm,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,3,162.07,R44,15,SHEPPARD LN,[TaxMap 9 Parcel 25],RC-DEO,"(39.2352,-76.9346)",POINT (1330832.306432873 571270.6254475042)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f9,1479,Five Acre Wellness,2015-05-01,2015-06-03,6:00 p.m.,Lisbon Volunteer Fire Dept.,1330 Woodbine Road,Woodbine,21797,,,C18,15,ED WARFIELD RD W OF DUVALL,[TaxMap 13 Parcel 278],RC-DEO,"(39.2944,-77.0745)",POINT (1291194.154528536 592805.9358303472)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f8,1480,Trotters Knoll,2015-05-11,2015-06-02,6:00 pm,Waterloo Elementary School,5940 Waterloo Road,Columbia,21045,96,19.6,R41,15,"N. OF MD RT 100, WEST OF OLD MONTGOMERY ROAD","[TaxMap 31 Parcel 753],[TaxMap 37 Parcel 748],[TaxMap 37 Parcel 753]",R-SA-8,"(39.2157,-76.7931)",POINT (1370933.07343835 564165.0302541927)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f7,1477,Berman Property,2015-04-29,2015-05-27,6:00 p.m.,Chapelgate Presbyterian Church,2600 Marriottsville Road,Marriottsville ,21044,,50.119,C16,15,N OF HOBSONS CHOICE LN W OF PATAPSCO RIVER,"[TaxMap 11 Parcel 13],[TaxMap 11 Parcel 15]","R-ED,RC-DEO","(39.3181,-76.8619)",POINT (1351453.2866524644 601399.2751913536)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f6,1478,Streaker Firewood,2015-05-01,2015-05-27,6:00 p.m.,West Friendship Volunteer Fire Dept.,12535 Old Frederick Road,Sykesville,21784,,,C17,15,N SIDE FREDERICK RD 900' E OF PFEFFERKORN RD,"[TaxMap 9 Parcel 146],[TaxMap 9 Parcel 73]",RC-DEO,"(39.3111,-76.9796)",POINT (1318105.543478582 598851.0715672094)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f5,1474,Chase Farm Resubdivision,2015-04-02,2015-05-11,6:00 pm,Gary J. Arthur Community Center,2400 Route 97,Cooksville,21723,2,100.25,R39,15,S SIDE ROXBURY RD OPPOSITE VICTORY LN,"[TaxMap 21 Parcel 191],[TaxMap 27 Parcel 191]",RC-DEO,"(39.2534,-77.0392)",POINT (1301207.4794796593 577878.7889346723)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f4,1476,"Holiday Hills, Lots 117 & 118",2015-04-08,2015-05-04,6:00 pm,Central Branch Library,10375 LIttle Patuxent Parkway,Columbia,21044,2,1.003,R40,15,N SIDE HUNTING LN W OF LONG VIEW RD,[TaxMap 41 Parcel 174],R-20,"(39.1783,-76.8807)",POINT (1346130.2196364403 550580.0081176534)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f3,1475,Merriweather SW FDP Amendment,2015-04-06,2015-04-29,6:30 pm,Slayton House,10400 Cross Fox Lane,Columbia,21044,0,10.2,T02,15,S SIDE LITTLE PATUXENT PKY E OF BROKEN LAND PKY,[TaxMap 36 Parcel 452],NT,"(39.2094,-76.8621)",POINT (1351388.5454603508 561871.4833971933)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f2,1473,Dorsey's Ridge,2015-03-23,2015-04-21,6:00 p.m.,St. Paul Catholic Church,3755 St. Paul Steet,Ellicott City,21043,,,M02,15,TERMINUS OF COOKS LN,"[TaxMap 24 Parcel 260],[TaxMap 24 Parcel 904],[TaxMap 24 Parcel 972]",R-ED,"(39.2631,-76.8166)",POINT (1364290.0367983542 581407.9060701914)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f1,1472,CVS Jessup,2015-03-18,2015-04-14,6:00 pm,Deep Run Elementary School,6925 Old Waterloo Road,Elkridge,21075,0,2,N06,15,WASHINGTON BLVD OPPOSITE PORT CAPITAL DR,[TaxMap 43 Parcel 16],B-1-CR,"(39.1743,-76.7776)",POINT (1375338.3363023512 549121.1520351917)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44f0,1471,Grimes Property,2015-03-09,2015-04-07,6:00 pm,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,7,1.98,R38,15,OLD SCAGGSVILLE RD N OF SUPERIOR,[TaxMap 50 Parcel 452],R-SC,"(39.1146,-76.859)",POINT (1352259.4559592456 527401.971441539)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44ef,1468,Pine Grove,2015-02-24,2015-03-31,6:00 pm,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,4,1.84,R37,15,STANSFIELD RD W OF OLD SCAGGSVILLE RD,[TaxMap 47 Parcel 162],R-SC,"(39.1212,-76.8653)",POINT (1350490.792420093 529800.3371230364)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-44ee,1470,Maryland International School,2015-03-06,2015-03-30,6:00 pm,Elkridge Volunteer Fire Company,6275 Old Washington Road,Elkridge,21075,,8,C15,15,E OF OLD WASHINGTON BLVD 800' S OF ST AUGUSTINE AV,[TaxMap 38 Parcel 820],R-12,"(39.2077,-76.7187)",POINT (1392019.3300563507 561259.0951131899)
